NID	PE	ING	AL	AD	V	A	O	D
258	1	35441	7314	3259	0	0	0	18
259	4	37890	8577	4205	1	0	0	18
260	3	40821	8941	4876	0	0	0	18
261	1	38477	7861	3534	0	0	0	18
262	4	47318	9862	5333	1	1	0	18
263	1	45449	9687	4681	1	0	1	18
264	4	36785	6889	3175	1	0	0	18
265	1	33072	7014	3152	1	0	0	18
266	4	39286	7912	4801	1	0	0	18
267	2	45414	10173	4864	1	0	1	18
268	4	36677	6877	3251	1	0	0	18
269	3	38259	7198	4419	1	0	0	18
270	1	45707	9737	4726	1	0	0	18
271	5	40202	8280	3030	0	0	0	19
272	4	46410	8578	4537	1	1	0	19
273	4	48246	8924	5293	0	1	0	19
274	2	44316	8478	3759	1	1	0	19
275	1	30694	6002	2399	0	1	1	19
276	1	31376	5779	2986	1	0	0	19
277	2	30661	6089	2259	0	0	0	19
278	1	46658	9170	5198	1	1	0	19
279	4	43219	8103	3726	1	1	0	19
280	2	35178	7592	3272	1	1	0	19
281	3	49361	9149	4214	1	0	1	19
282	1	37852	6365	4703	0	1	0	19
283	4	46870	10367	4850	0	0	0	19
284	3	43776	9857	5217	1	1	0	19
285	2	43048	8903	4669	1	1	0	19
286	3	44105	8965	5267	1	1	1	19
287	2	43331	9138	4418	1	0	0	19
288	2	45977	9486	4375	0	0	0	19
289	1	44367	9130	4178	0	1	0	19
290	1	36412	7534	3145	1	1	0	19
291	5	46422	10065	4441	1	1	0	20
292	2	46216	9899	6186	0	0	0	20
293	6	34183	7705	3797	0	1	0	20
294	3	38894	7325	2577	1	0	0	20
295	5	38530	7931	4032	1	0	0	20
296	5	35551	6982	3757	1	0	0	20
297	5	45720	9764	5103	1	1	0	20
298	3	40199	8368	4627	0	0	0	20
299	4	41127	7661	3132	1	1	0	20
300	1	46825	9726	3774	0	0	0	20
301	4	34800	7243	3820	1	0	0	21
302	3	32605	5755	3204	1	1	0	21
303	4	49762	10910	4880	1	1	0	21
304	1	36262	6636	3140	0	0	0	21
305	4	33820	6180	4037	1	0	0	21
306	1	34209	6712	3197	1	0	0	21
307	4	43164	7726	4049	0	1	0	21
308	2	35957	6808	3000	0	0	0	21
309	1	46490	10362	3952	1	0	0	21
310	4	35599	7415	3502	0	1	0	21
311	6	43335	9577	4593	1	0	0	21
312	4	43199	8121	4642	1	0	0	21
313	4	31324	7008	2988	1	1	0	21
314	4	46208	10066	4519	1	0	0	21
315	5	42073	8058	4230	1	0	0	21
316	2	42861	8413	3468	0	0	0	22
317	3	46898	10076	5645	1	0	0	22
318	1	40394	7948	3985	0	1	1	22
319	5	36638	7447	4592	0	0	0	22
320	5	40359	7420	4409	0	1	0	22
321	2	41013	8801	3988	1	0	0	22
322	4	47689	9364	4700	1	0	0	22
323	1	43257	9614	3770	0	0	0	22
324	1	30506	6617	2897	0	0	0	22
325	2	41589	7086	3925	0	0	0	22
326	4	40487	8621	4345	1	1	1	22
327	5	51582	10934	5506	1	0	0	22
328	1	44896	9774	4076	1	0	0	22
329	3	48991	10886	4228	1	1	0	22
330	1	32612	6814	3169	1	0	0	22
331	3	42303	8465	3282	1	0	1	22
332	3	43765	10273	4572	0	0	0	22
333	3	34461	7579	4115	1	0	0	22
334	6	42203	8502	4297	1	0	0	22
335	2	40079	9448	3429	0	0	0	22
336	1	33262	7120	3106	1	0	0	23
337	1	40708	8915	4175	1	1	0	23
338	2	39891	6937	4481	0	0	0	23
339	2	46945	9146	4768	1	1	1	23
340	6	47188	8948	3655	1	1	0	23
341	3	36273	7453	4207	0	0	0	23
342	3	38876	7804	3700	0	0	0	23
343	1	32834	6119	3764	1	1	0	23
344	3	34023	6338	4023	1	1	0	23
345	2	43803	10041	4234	1	0	0	23
346	5	36239	7579	4181	1	1	0	24
347	3	39878	8411	3490	0	0	0	24
348	4	39127	6948	4278	1	0	0	24
349	6	34239	7278	3121	0	0	0	24
350	2	38264	7229	5006	1	1	0	24
351	2	36419	7797	4460	0	1	0	24
352	3	40260	7919	3905	1	0	0	24
353	4	40233	7607	3604	1	0	0	24
354	5	46575	9040	4427	0	1	0	24
355	2	39271	7766	3659	1	0	1	24
356	4	35478	7184	3823	1	0	0	24
357	4	35852	7329	3933	1	1	0	24
358	3	41121	9175	4524	0	0	0	24
359	3	45901	9544	3405	0	0	0	24
360	4	40345	9034	3976	0	0	1	24
361	2	39273	7916	4212	0	0	0	25
362	3	36845	7285	4086	0	0	0	25
363	3	38809	7616	4143	1	0	0	25
364	3	39924	8975	2587	1	0	0	25
365	1	48152	10021	4163	1	0	0	25
366	2	42489	8326	4175	0	1	0	25
367	4	44308	8918	3881	0	0	0	25
368	4	41503	7834	4121	1	0	0	25
369	2	37358	8158	2978	0	0	0	25
370	1	34963	6256	3595	1	1	0	25
371	5	37882	7932	3862	1	0	0	25
372	3	38966	8528	4061	1	1	0	25
373	4	38755	8599	2748	0	0	0	25
374	2	42717	8637	4403	1	0	0	25
375	3	43319	10071	4885	0	0	0	25
376	2	54774	9613	4084	1	0	0	25
377	3	32728	6511	2805	1	1	0	25
378	2	36555	7376	3158	0	0	0	25
379	4	42794	9280	3308	1	1	0	25
380	4	45478	9374	5251	1	0	0	25
381	1	36127	7422	3748	0	0	0	26
382	3	36329	7358	4124	0	0	0	26
383	4	40103	8000	3731	0	1	0	26
384	1	46695	9829	4977	0	0	0	26
385	3	46332	9846	5604	0	1	0	26
386	4	46949	9153	4554	1	1	0	26
387	2	44708	8941	3474	1	0	0	26
388	1	38667	7358	4144	0	0	0	26
389	2	46201	10133	4729	0	1	0	26
390	4	48307	11035	4136	1	0	0	26
391	4	41896	7480	3593	0	0	0	27
392	2	44631	9207	5288	1	1	0	27
393	2	36554	6957	3992	1	0	0	27
394	3	44115	9710	4304	0	0	0	27
395	5	43914	9254	4665	1	1	0	27
396	3	31257	6163	3464	0	0	0	27
397	3	39205	7551	4256	0	0	0	27
398	5	40472	7990	3563	0	0	0	27
399	1	47606	10637	4286	1	1	0	27
400	4	36443	7385	3900	0	1	0	27
401	2	45420	9100	4543	0	1	0	27
402	3	38160	7854	4833	1	0	0	27
403	3	36619	7726	3117	0	1	0	27
404	4	40750	8658	3825	1	1	0	27
405	1	34168	6069	3069	1	0	0	27
406	2	41624	8349	4376	1	0	0	28
407	4	51478	9766	4887	0	0	0	28
408	2	41043	8124	3998	0	0	0	28
409	4	40788	8119	4213	1	0	0	28
410	4	43026	9529	3280	1	0	0	28
411	1	48384	9306	5904	1	0	0	28
412	2	37056	7474	3025	0	1	1	28
413	2	37717	7378	3619	1	0	1	28
414	3	35306	7196	3897	0	0	0	28
415	2	51783	9730	6333	1	1	0	28
416	1	40555	7888	3582	1	0	0	28
417	1	41944	8033	3845	1	0	0	28
418	3	42686	9284	3664	1	0	0	28
419	1	37887	8018	3870	1	1	0	28
420	1	43039	8095	6076	1	1	0	28
421	2	38898	8173	4380	0	0	0	28
422	2	47048	9822	5282	0	1	0	28
423	4	46346	9241	5074	1	0	0	28
424	1	37910	7911	3655	0	0	0	28
425	5	42444	8327	4009	1	1	0	28
426	4	33632	7131	2295	0	0	0	29
427	1	37245	7211	3561	0	0	0	29
428	2	33055	6109	2927	1	1	0	29
429	3	40689	6891	4127	1	1	0	29
430	3	34488	7337	2687	1	1	0	29
431	2	35628	7732	3713	0	1	0	29
432	2	34777	7569	3588	1	1	0	29
433	2	42261	9730	5062	1	0	1	29
434	2	33114	7318	3056	0	1	0	29
435	2	40723	7576	4248	1	0	0	29
436	2	39005	8988	3520	1	1	0	30
437	4	42781	7602	5736	0	1	0	30
438	3	38735	6488	3882	1	0	0	30
439	1	32065	5709	2832	0	0	0	30
440	1	35739	7066	3417	1	0	0	30
441	3	41183	8710	3307	1	0	0	30
442	4	33631	6614	4189	1	0	0	30
443	4	44699	9759	5024	0	0	1	30
444	2	47639	9819	5387	1	0	0	30
445	3	40597	8272	3848	1	0	0	30
446	1	51988	11381	5398	0	1	0	30
447	4	30654	6726	3218	1	0	0	30
448	1	33726	6691	3226	0	0	0	30
449	4	43463	9057	2950	1	0	0	30
450	1	38675	8439	2885	0	0	0	30
451	4	43871	8611	4190	1	1	0	31
452	4	39111	7747	3833	1	1	0	31
453	3	45570	8257	4872	0	0	0	31
454	3	36406	7897	4001	0	1	0	31
455	1	40785	8044	4278	0	1	0	31
456	5	31695	7022	4228	0	0	0	31
457	2	38715	7167	4716	1	0	0	31
458	3	49722	8965	4182	1	1	0	31
459	3	48721	9254	5302	1	1	0	31
460	2	41785	7959	5131	0	0	1	31
461	5	36659	6519	3963	0	0	0	31
462	3	44220	8190	4401	1	0	1	31
463	1	49331	10908	4748	0	0	0	31
464	3	35556	6469	3162	0	1	0	31
465	3	36985	8021	4573	0	0	0	31
466	4	44943	8719	4575	0	1	0	31
467	1	37929	8366	2673	1	0	0	31
468	1	36058	7646	3164	1	0	0	31
469	4	41432	8178	3375	0	0	1	31
470	2	37013	7602	3516	1	0	0	31
471	4	31089	6495	2848	0	0	0	32
472	4	37665	7592	4323	1	0	0	32
473	2	39840	8926	3413	0	1	0	32
474	4	43339	8287	4691	1	0	0	32
475	5	37862	6936	4148	1	1	0	32
476	3	34296	7409	2770	1	0	0	32
477	2	44085	10368	4507	1	1	0	32
478	4	35305	6603	3251	1	1	0	32
479	2	44530	8941	3759	0	1	0	32
480	2	52149	11708	6205	1	0	0	32
481	2	40556	7942	5152	1	1	1	33
482	1	39973	9246	2895	1	1	0	33
483	1	39164	8992	4305	0	0	0	33
484	4	37521	7914	3077	1	1	0	33
485	3	32065	6304	3730	0	0	0	33
486	2	42847	8956	3688	1	0	0	33
487	4	36485	6985	3575	1	0	0	33
488	2	36138	7016	2506	1	0	0	33
489	5	49936	9411	4738	1	0	1	33
490	1	35271	7903	4097	0	1	0	33
491	3	39604	6870	2931	1	1	1	33
492	4	50727	11238	4475	0	0	0	33
493	3	40961	7704	3931	1	0	0	33
494	4	44892	9852	5732	0	1	0	33
495	1	40852	7928	4646	0	1	0	33
496	3	32730	6660	3115	1	1	0	34
497	5	48894	9647	6215	1	0	1	34
498	1	37625	6925	2957	1	1	0	34
499	5	38883	7393	4816	1	1	0	34
500	2	44129	8924	5366	0	0	0	34
501	4	35201	6565	4075	1	0	0	34
502	3	39562	7065	3812	0	0	0	34
503	1	39223	6892	5203	1	1	0	34
504	2	35301	6503	2844	1	0	0	34
505	3	53722	11271	5581	1	1	0	34
506	1	42258	7630	5324	1	1	0	34
507	1	30475	6674	2350	1	0	0	34
508	4	39844	7894	4509	1	0	0	34
509	1	38952	8617	3537	1	0	0	34
510	2	44837	9461	4224	1	1	0	34
511	3	43349	8855	3617	1	1	0	34
512	4	47314	9441	5298	1	0	0	34
513	3	42621	8334	4593	1	0	0	34
514	4	36344	8300	3826	0	0	0	34
515	4	44711	8483	5456	1	0	1	34
516	1	44816	8477	4684	1	0	0	35
517	5	43265	8878	3848	1	1	0	35
518	3	36798	7210	3460	0	1	1	35
519	2	38848	7976	4238	1	0	0	35
520	4	38370	8475	4585	1	1	0	35
521	2	38469	8135	4717	0	0	0	35
522	2	40371	7873	4082	0	0	0	35
523	5	33114	6879	3342	1	0	0	35
524	4	40004	7595	4344	1	0	0	35
525	2	39476	7628	3019	1	0	0	35
526	2	39124	8036	4532	0	0	0	36
527	2	40169	7189	4324	0	1	0	36
528	2	41512	8274	3813	1	1	0	36
529	3	37847	7138	4218	1	0	0	36
530	2	40763	7552	3955	1	0	1	36
531	4	33984	6517	2986	0	0	0	36
532	3	50802	10775	5540	1	0	0	36
533	3	38856	7614	3412	0	0	0	36
534	3	38825	8115	4160	1	0	1	36
535	3	36801	7505	3171	1	0	0	36
536	3	36783	7943	4241	1	0	0	36
537	5	41313	8177	4038	0	0	0	36
538	4	38745	6589	4650	1	0	1	36
539	1	34238	6954	2891	0	0	0	36
540	1	38726	7105	4199	1	1	0	36
541	3	38504	7557	4376	1	1	0	37
542	5	33243	7405	3232	1	0	0	37
543	4	35732	8140	4073	0	0	0	37
544	2	51030	9447	4391	1	0	0	37
545	4	40223	8888	3173	0	0	0	37
546	1	46372	9663	4207	1	0	0	37
547	1	43314	8863	3757	1	0	0	37
548	2	41689	8658	3975	1	0	1	37
549	1	44405	9434	4772	1	0	0	37
550	4	34941	6997	3162	1	0	0	37
551	1	34783	7185	3755	0	0	0	37
552	2	40525	8232	4224	0	0	0	37
553	2	36336	6728	3979	1	1	0	37
554	4	45853	8530	4956	0	0	0	37
555	2	44936	8520	4102	1	0	0	37
556	3	31249	6593	3191	1	1	0	37
557	1	41657	7846	3666	1	0	0	37
558	1	38256	8747	4082	1	1	0	37
559	1	33296	6094	3699	0	0	0	37
560	3	41905	8136	4155	1	1	0	37
561	5	46310	9568	5222	1	0	0	38
562	2	34604	7579	3168	0	1	0	38
563	5	32703	7860	3115	0	0	0	38
564	3	30052	5482	2728	1	1	0	38
565	2	43746	8266	4902	0	0	0	38
566	1	31143	5896	3745	0	0	0	38
567	3	38993	8277	2612	0	0	0	38
568	1	37472	7455	2832	1	1	0	38
569	2	45121	10623	4757	1	1	0	38
570	3	42084	8816	4207	1	0	0	38
571	4	37879	7575	3156	0	1	0	39
572	3	44671	9083	4949	0	1	0	39
573	1	42164	7300	4706	0	1	0	39
574	3	30906	6089	3623	0	1	0	39
575	3	36229	6869	3667	0	0	0	39
576	3	51093	10711	5549	0	0	0	39
577	1	37408	7851	3962	0	1	0	39
578	2	47224	9714	4488	1	0	0	39
579	3	39930	8028	3723	0	0	0	39
580	2	41999	8974	5284	0	0	0	39
581	2	46479	8348	4683	1	0	0	39
582	5	32662	6168	3043	1	1	0	39
583	2	35512	7178	3164	1	1	0	39
584	3	42948	7885	3636	0	0	0	39
585	2	42115	9151	4581	1	1	0	39
586	4	39166	7838	4176	0	0	0	40
587	2	42740	7633	3844	0	1	1	40
588	3	37801	7776	3695	1	1	0	40
589	5	44613	9887	5454	1	0	0	40
590	1	38201	9331	4114	1	0	0	40
591	2	40340	9434	4101	1	0	0	40
592	4	41213	9526	3905	0	0	0	40
593	2	38393	7008	3576	1	0	1	40
594	1	44254	9094	4509	1	0	0	40
595	2	42068	8696	3525	0	1	0	40
596	1	41520	7459	3694	0	1	0	40
597	4	39359	8875	3648	1	0	0	40
598	3	41106	8553	3622	1	1	0	40
599	3	40287	8723	3053	0	0	0	40
600	3	39987	7672	3847	1	1	0	40
601	2	37749	7358	3573	0	0	1	40
602	4	44279	9135	3684	0	1	0	40
603	2	39260	6869	3419	1	0	0	40
604	4	42332	8644	5456	1	1	1	40
605	2	36160	6722	3123	0	1	0	40
606	3	43123	8586	4379	1	0	0	41
607	1	45336	8440	5329	0	1	0	41
608	4	43474	10466	5152	0	0	0	41
609	1	42441	8613	5577	1	0	0	41
610	2	40968	8560	4080	1	0	1	41
611	2	41212	9040	3699	0	0	0	41
612	1	41449	7339	3473	1	0	0	41
613	1	47129	8889	5332	0	0	0	41
614	2	36774	8310	3897	0	0	0	41
615	1	41471	8059	3727	1	1	0	41
616	3	46411	8452	3835	1	0	0	42
617	1	45130	9910	3989	1	1	0	42
618	2	36730	6675	4123	1	1	0	42
619	3	31576	7251	3112	1	0	0	42
620	3	45678	10849	3915	0	1	0	42
621	2	46324	9328	5081	0	0	0	42
622	3	39225	7540	3722	1	1	0	42
623	3	37506	7570	3880	0	1	0	42
624	3	45747	9146	5454	1	1	0	42
625	1	39778	7962	4611	1	0	0	42
626	4	31644	6557	3276	1	1	0	42
627	3	53226	10965	5589	1	0	0	42
628	4	37220	8896	4095	1	0	0	42
629	2	41271	8422	3500	1	1	0	42
630	5	37406	6821	4147	1	1	0	42
631	4	38176	7852	4267	1	0	0	43
632	2	43575	9490	4815	1	0	0	43
633	1	43793	7829	4454	1	1	0	43
634	3	41705	9017	4789	1	0	0	43
635	1	46966	8899	4100	1	1	0	43
636	2	33860	7313	3587	0	1	0	43
637	4	31138	7211	3359	1	1	0	43
638	5	34248	7479	3414	0	0	0	43
639	4	38220	7569	3282	1	1	0	43
640	2	41975	8909	4407	0	0	0	43
641	2	42188	7985	4239	1	0	0	43
642	1	37763	8242	3605	1	1	0	43
643	3	41877	8872	4634	0	0	1	43
644	3	36636	6833	3847	1	0	1	43
645	4	48022	10183	4878	1	0	0	43
646	3	45505	9502	5288	1	0	0	43
647	2	38560	8486	3479	1	0	1	43
648	4	38868	7812	4514	1	0	0	43
649	4	39702	7254	4753	1	1	0	43
650	4	40639	6914	4291	0	1	0	43
651	4	40538	9280	4849	0	1	0	44
652	4	43090	8174	4115	1	0	0	44
653	5	41446	8834	4365	0	1	0	44
654	1	36483	8309	3518	1	1	0	44
655	1	38972	7984	3502	1	1	0	44
656	5	38170	6993	4209	0	1	0	44
657	4	46175	8497	5208	1	1	1	44
658	4	41524	8923	4448	1	1	0	44
659	1	41822	8455	4226	1	0	1	44
660	3	44292	9290	5223	1	1	0	44
661	3	46252	8491	4889	0	1	0	45
662	1	42563	9386	3724	0	0	0	45
663	4	42703	7692	3944	1	1	0	45
664	3	39641	6887	3192	1	1	0	45
